P241	Q705738	Q9212
P106	Q318267	Q10800557
P264	Q364881	Q1984458
P166	Q23301	Q159661
P101	Q47899	Q33999
P412	Q484523	Q27914
P1343	Q58579	Q2657718
P106	Q201418	Q10800557
P166	Q212048	Q908858
P166	Q41163	Q123737
P412	Q105460	Q27914
P463	Q168751	Q647039
P106	Q238483	Q10800557
P2293_P459_P459	Q3025883	Q18045465	Q1098876	Q23190853
P69	Q922368	Q736674
P106	Q228733	Q36834
P106	Q2557451	Q28389
P2293_P459_P459	Q12214	Q18028156	Q1098876	Q23190853
P106	Q271050	Q33999
P106	Q191716	Q18844224
P26	Q320052	Q235351
P106	Q163249	Q10798782
P2643	Q1784748	Q23662765
P106	Q296491	Q36180
P21	Q51057	Q6581097
P1303	Q781634	Q302497
P1303	Q924668	Q46185
P31	Q2721855	Q5
P749	Q656752	Q21077
P106	Q2964857	Q488205
P106	Q40787	Q82955
P162	Q39037	Q558143
P31	Q464932	Q5
P161	Q23558	Q22943994
P2643	Q540672	Q23663133
P161	Q2085	Q778585
P279	Q3405409	Q594886
P31	Q229347	Q5
P166	Q48410	Q20892672
P161	Q814771	Q1290421
P166	Q180975	Q28470
P31	Q10346114	Q5
P166	Q170373	Q833163
P31	Q751612	Q9826
P106	Q1378118	Q1053574
P69	Q336074	Q7739610
P106	Q199945	Q2259451
P31	Q2468138	Q5
P106	Q329807	Q3455803
P161	Q381731	Q7349017
P1411_P1686	Q706513	Q2294693	Q4926543
P31	Q453406	Q5
P106	Q25144	Q3282637
P106	Q236399	Q10800557
P509	Q25120	Q132821
P31	Q365199	Q5
P1365	Q212252	Q206272
P509	Q358322	Q12078
P166	Q234679	Q376834
P161	Q23558	Q1336685
P463	Q39246	Q40358
P2643	Q1079140	Q23622771
P106	Q244234	Q948329
P1411_P1686	Q102551	Q945887	Q1247468
P31	Q172341	Q12136
P2936	Q1164	Q7259044
P264	Q374065	Q778673
P1303	Q2632	Q11404
P21	Q1516734	Q6581097
P1343	Q4027534	Q2657718
P21	Q80739	Q6581097
P106	Q201656	Q10798782
P21	Q455780	Q6581097
P69	Q9557	Q3631441
P361	Q218567	Q1077429
P1303	Q72720	Q6607
P166	Q80135	Q728960
P279	Q189290	Q47064
P166	Q399643	Q838121
P509	Q2005146	Q12192
P31	Q193659	Q5
P31	Q725507	Q5
P31	Q4717090	Q5
P161	Q23558	Q505600
P161	Q189267	Q253536
P31	Q1247701	Q5398426
P106	Q209186	Q13235160
P2936	Q1193	Q56761
P106	Q348603	Q2722764
P780	Q12192	Q38933
P106	Q229349	Q5716684
P166	Q127417	Q203535
P106	Q48987	Q3282637
P463	Q1075148	Q4810036
P2293_P459_P459	Q11081	Q18055569	Q1098876	Q23190853
P2936	Q1193	Q21481817
P1346_P1686	Q1065651	Q26876	Q19892111
P264	Q2632	Q50074604
P166	Q175078	Q1738793
P69	Q455743	Q13371
P2293_P459_P459	Q3025883	Q20970208	Q1098876	Q23190853
P106	Q230632	Q2259451
P166	Q183337	Q4936657
P1343	Q7785	Q2657718
P1411_P1686	Q335672	Q4969377	Q1164742
P2643	Q1311379	Q23662478
P31	Q1150105	Q875538
P161	Q824192	Q5228265
P1884	Q55800	Q2367101
P106	Q215300	Q2259451
P1411_P1686	Q230378	Q894598	Q2092105
P2643	Q332498	Q23334891
P106	Q365633	Q15627169
P451	Q1069140	Q125106
P21	Q311317	Q6581097
P2643	Q49208	Q23662432
P106	Q193070	Q10798782
P161	Q117396	Q1616959
P106	Q352203	Q10798782
P31	Q334288	Q5
P106	Q314215	Q18844224
P106	Q206856	Q28389
P463	Q627969	Q5275906
P31	Q279169	Q5
P21	Q23517	Q6581097
P31	Q7397	Q268592
P161	Q438406	Q16299311
P1344	Q268208	Q10260332
P166	Q23884	Q14705795
P21	Q39979	Q6581097
P166	Q95089	Q1738793
P161	Q168708	Q3260127
P2643	Q1026932	Q23662426
P725	Q16538	Q5386105
P161	Q117396	Q3898137
P21	Q23359	Q6581097
P135	Q299483	Q629420
P106	Q316596	Q33999
P31	Q336519	Q5
P26	Q26695	Q43093007
P1303	Q26933	Q302497
P161	Q4529	Q263433
P166	Q40787	Q10514065
P106	Q158266	Q33999
P106	Q106481	Q36180
P463	Q1191833	Q5059850
P509	Q470040	Q181754
P1303	Q267097	Q17172850
P106	Q295964	Q10800557
P279	Q30903	Q50810224
P264	Q1651279	Q1524530
P451	Q230268	Q18390676
P607	Q1076619	Q361
P106	Q49569	Q33999
P2643	Q864855	Q23662432
P31	Q467749	Q5
P21	Q290962	Q6581097
P69	Q104326	Q463055
P463	Q1567748	Q5059850
P161	Q168708	Q182464
P106	Q364131	Q639669
P31	Q484876	Q28640
P69	Q220536	Q174710
P31	Q325389	Q5
P166	Q9682	Q2794660
P264	Q282925	Q216364
P21	Q449658	Q6581097
P106	Q194419	Q557880
P749	Q736674	Q1206658
P166	Q80135	Q185493
P166	Q1124	Q28663097
P166	Q311317	Q27575234
P1344	Q312510	Q876301
P161_P453	Q321423	Q217573	Q7050120
P69	Q1421616	Q1047293
P106	Q312691	Q36834
P31	Q476921	Q12136
P166	Q11617	Q1091031
P106	Q131380	Q3282637
P166	Q80309	Q10762848
P31	Q860527	Q62078547
P31	Q4547	Q5
P106	Q201279	Q13235160
P106	Q275707	Q6625963
P106	Q210059	Q6625963
P166	Q372073	Q123737
P161	Q1030713	Q442274
P106	Q1022530	Q10800557
P1853	Q231203	Q19831451
P106	Q1612623	Q33999
P31	Q1452569	Q5
P1346_P1686	Q257235	Q191828	Q2060121
P31	Q208026	Q5
P31	Q1517021	Q875538
P1303	Q357515	Q6607
P31	Q1472347	Q875538
P21	Q35171	Q6581097
P2643	Q4570781	Q23662765
P264	Q151012	Q1063242
P101	Q9353	Q5891
P106	Q1341644	Q28389
P106	Q342430	Q10800557
P106	Q698951	Q578109
P2293_P459_P459	Q128581	Q18047180	Q1098876	Q23190853
